label,gpu_type,duration,gpu_count,util,usd_per_gpu_hr,monthly_cost_usd
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.59,9285.6
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
